Runs Generation Count Mean: 51
Runs Generation Count Mode: 51 occurred (10) time(s)
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
12	0	0.99591	0.99883	0	9.7589	3.1165	23	5	38	8	0.99137	0.99883	0	13.1954	3.4176	23	5	44	5
13	0	0.99598	0.99883	0	9.3105	3.0395	22	4	42	8	0.99172	0.99883	0	12.918	3.3904	22	4	44	5
14	0	0.99615	0.99883	0	8.9001	2.9651	22	4	30	7	0.992	0.99883	0	12.6501	3.3621	22	4	44	5
15	0	0.99654	0.99883	0	8.6146	2.9117	22	4	28	7	0.99229	0.99883	0	12.3978	3.334	22	4	44	5
16	0	0.99667	0.99885	0	8.3169	2.8504	23	5	22	6	0.99254	0.99885	0	12.1577	3.3054	23	5	44	5
17	0	0.99689	0.99885	0	7.9414	2.7657	23	5	22	7	0.9928	0.99885	0	11.9236	3.2755	23	5	44	5
18	0	0.99669	0.99885	0	7.5773	2.6766	23	5	23	6	0.99299	0.99885	0	11.6948	3.244	23	5	44	5
19	0	0.99687	0.99885	0	7.3245	2.6186	23	5	23	6	0.9932	0.99885	0	11.4764	3.2127	23	5	44	5
20	0	0.99673	0.99885	0	7.0455	2.546	22	5	26	5	0.99337	0.99885	0	11.2654	3.1811	22	5	44	5
21	0	0.99709	0.99885	0	6.8329	2.4921	22	5	26	7	0.99354	0.99885	0	11.0637	3.1496	22	5	44	5
22	0	0.99694	0.99885	0	6.6059	2.4327	22	5	31	8	0.99367	0.99885	0	10.8701	3.1184	22	5	44	5
23	0	0.99719	0.99885	0	6.3729	2.3585	21	5	26	6	0.99385	0.99885	0	10.6824	3.0867	21	5	44	5
24	0	0.9974	0.99886	0	6.1988	2.3146	20	5	22	5	0.99396	0.99886	0	10.5033	3.0561	20	5	44	5
25	0	0.99713	0.99886	0.09973	6.0303	2.2631	20	5	16	5	0.99407	0.99886	0	10.3314	3.0254	20	5	44	5
26	0	0.99695	0.99886	0	5.911	2.222	20	5	24	8	0.99421	0.99886	0	10.1676	2.9958	20	5	44	5
27	0	0.99749	0.99886	0	5.7507	2.1702	20	5	34	7	0.99432	0.99886	0	10.0098	2.9662	20	5	44	5
28	0	0.99733	0.99886	0.09976	5.5771	2.1152	20	5	21	5	0.99443	0.99886	0	9.8568	2.9368	20	5	44	5
29	0	0.99753	0.99886	0	5.4336	2.07	23	6	19	6	0.99454	0.99886	0	9.7095	2.9081	23	6	44	5
30	0	0.99725	0.99886	0	5.3063	2.0303	23	6	12	4	0.9946	0.99886	0	9.5676	2.8799	23	6	44	5
31	0	0.99733	0.99886	0	5.152	1.9746	21	6	20	5	0.9947	0.99886	0	9.4295	2.8516	21	6	44	5
32	0	0.99729	0.99886	0	5.081	1.9545	21	6	16	5	0.99479	0.99886	0	9.2977	2.8242	21	6	44	5
33	0	0.99747	0.99886	0.0997	4.9871	1.9268	21	6	15	5	0.99486	0.99886	0	9.1711	2.7978	21	6	44	5
34	0	0.99747	0.99886	0.09976	4.9348	1.915	20	6	15	5	0.99492	0.99886	0	9.0498	2.7726	20	6	44	5
35	0	0.99739	0.99886	0	4.8589	1.8853	20	6	15	5	0.99501	0.99886	0	8.9334	2.748	20	6	44	5
36	0	0.99757	0.99886	0.09969	4.7722	1.8559	20	6	21	6	0.99509	0.99886	0	8.8208	2.7238	20	6	44	5
37	0	0.99763	0.99886	0	4.7422	1.8403	20	6	15	5	0.99513	0.99886	0	8.7138	2.7006	20	6	44	5
38	0	0.99749	0.99886	0	4.6865	1.8178	20	6	15	4	0.99521	0.99886	0	8.6103	2.678	20	6	44	5
39	0	0.99749	0.99886	0	4.6409	1.8052	19	6	15	4	0.99526	0.99886	0	8.5111	2.6562	19	6	44	5
40	0	0.99749	0.99886	0.09973	4.6356	1.8059	19	6	13	4	0.99532	0.99886	0	8.4168	2.6356	19	6	44	5
41	0	0.99743	0.99886	0	4.6393	1.8092	19	6	12	4	0.99536	0.99886	0	8.3267	2.6156	19	6	44	5
42	0	0.99749	0.99886	0.09951	4.6151	1.8025	19	6	14	5	0.99541	0.99886	0	8.2404	2.5967	19	6	44	5
43	0	0.99745	0.99886	0.19944	4.6163	1.8091	19	6	14	4	0.99546	0.99886	0	8.158	2.5789	19	6	44	5
44	0	0.99765	0.99886	0.1992	4.5974	1.802	19	6	14	4	0.99551	0.99886	0	8.079	2.5616	19	6	44	5
45	0	0.99767	0.99886	0.09976	4.5949	1.7984	19	6	19	6	0.99556	0.99886	0	8.0031	2.5452	19	6	44	5
46	0	0.99755	0.99886	0.19939	4.5526	1.7793	19	6	10	4	0.9956	0.99886	0	7.9298	2.5289	19	6	44	5
47	0	0.99763	0.99886	0	4.5168	1.7635	19	6	10	4	0.99563	0.99886	0	7.8585	2.5128	19	6	44	5
48	0	0.99751	0.99886	0.19914	4.4923	1.7517	19	6	13	4	0.99568	0.99886	0	7.7898	2.4974	19	6	44	5
49	0	0.99747	0.99886	0.09962	4.497	1.7563	19	6	14	5	0.9957	0.99886	0	7.7241	2.4824	19	6	44	5
50	0	0.99731	0.99886	0	4.4765	1.7423	19	6	14	4	0.99577	0.99886	0	7.6604	2.468	19	6	44	5
51	0	0.99751	0.99886	0	4.4765	1.7458	19	6	12	5	0.99577	0.99886	0	7.599	2.454	19	6	44	5
